DATE,BI-COLOR
9/4/2004,12.28461538
9/11/2004,11.48653846
9/18/2004,9.804411765
9/25/2004,9.3671875
10/2/2004,9.259615385
10/9/2004,10.37
10/16/2004,16.45714286
10/23/2004,15.82916667
10/30/2004,15.7875
11/6/2004,14.6
11/13/2004,14.00714286
11/20/2004,13.16428571
11/27/2004,15.175
12/4/2004,14.53125
12/11/2004,12.57
12/18/2004,11.9375
12/25/2004,10.19444444
1/1/2005,8.767857143
1/8/2005,8.9
1/15/2005,10.86666667
1/22/2005,15.41666667
1/29/2005,16.475
2/5/2005,15.49285714
2/12/2005,15.02222222
2/19/2005,15.935
2/26/2005,17.38888889
3/5/2005,14.34375
3/12/2005,13.75416667
3/19/2005,16.71625
3/26/2005,18.6725
4/2/2005,15.465625
4/9/2005,11.48333333
4/16/2005,13.65357143
4/23/2005,17.5796875
4/30/2005,16.384375
5/7/2005,11.77142857
5/14/2005,10.48125
5/21/2005,10.16785714
5/28/2005,10.93125
6/4/2005,12.715625
6/11/2005,16.54711538
6/18/2005,15.71590909
6/25/2005,11.98125
7/2/2005,14.82777778
7/9/2005,14
7/16/2005,13.25
7/23/2005,10.39722222
7/30/2005,9.123684211
8/6/2005,7.892105263
8/13/2005,7.125
8/20/2005,7.192307692
8/27/2005,7.911538462
9/3/2005,11.40625
9/10/2005,14.77954545
9/17/2005,17.74038462
9/24/2005,14.57291667
10/1/2005,12.58035714
10/8/2005,12.653125
10/15/2005,12.7875
10/22/2005,12.6609375
10/29/2005,13.509375
11/5/2005,13.00138889
11/12/2005,14.9575
11/19/2005,19.3
11/26/2005,23.28125
12/3/2005,26.90357143
12/10/2005,28.2
12/17/2005,24.9875
12/24/2005,31.75
12/31/2005,28.75
1/21/2006,23.75
1/28/2006,19.64642857
2/4/2006,16.3
2/11/2006,14.95
2/18/2006,15.19166667
2/25/2006,19.35
3/4/2006,20.91666667
3/11/2006,21.20625
3/18/2006,18.9640625
3/25/2006,16.67638889
4/1/2006,17.6421875
4/8/2006,21.17916667
4/15/2006,21.575
4/22/2006,17.78055556
4/29/2006,12.359375
5/6/2006,10.99305556
5/13/2006,10.8375
5/20/2006,10.36
5/27/2006,11.72875
6/3/2006,13.53333333
6/10/2006,12.90972222
6/17/2006,13.83125
6/24/2006,13.71875
7/1/2006,14.10227273
7/8/2006,13.13020833
7/15/2006,11.70982143
7/22/2006,11.36979167
7/29/2006,11.40104167
8/5/2006,10.08214286
8/12/2006,9.252777778
8/19/2006,10.09583333
8/26/2006,10.94821429
9/2/2006,13.29807692
9/9/2006,12.99583333
9/16/2006,12.09659091
9/23/2006,11.71428571
9/30/2006,10.06730769
10/7/2006,10.35416667
10/14/2006,10.41416667
10/21/2006,11.77692308
10/28/2006,11.11111111
11/4/2006,11.9455
11/11/2006,11.37083333
11/18/2006,12.17916667
11/25/2006,12.12613636
12/2/2006,11.725
12/9/2006,10.97272727
12/16/2006,10.84375
12/23/2006,11.11944444
12/30/2006,11.975
1/6/2007,16.27625
1/13/2007,16.61944444
1/20/2007,17.415625
1/27/2007,16.52954545
2/3/2007,15.8875
2/10/2007,13.86125
2/17/2007,15.10833333
2/24/2007,17.0484375
3/3/2007,20.49285714
3/10/2007,17.0075
3/17/2007,15.29166667
3/24/2007,16.16522727
3/31/2007,18.009375
4/7/2007,21.00388889
4/14/2007,18.75535714
4/21/2007,15.875
4/28/2007,14.5195
5/5/2007,14.42958333
5/12/2007,16.51041667
5/19/2007,16.08068182
5/26/2007,15.54204545
6/2/2007,13.36538462
6/9/2007,13.49375
6/16/2007,12.91666667
6/23/2007,12.76388889
6/30/2007,11.26875
7/7/2007,10.48653846
7/14/2007,9.08125
7/21/2007,8.053571429
7/28/2007,9.867307692
8/4/2007,10.46590909
8/11/2007,9.955357143
8/18/2007,9.704545455
8/25/2007,9.633333333
9/1/2007,11.06484375
9/8/2007,13.44615385
9/15/2007,13.32307692
9/22/2007,12.97142857
9/29/2007,12.20833333
10/6/2007,10.06730769
10/13/2007,11.0140625
10/20/2007,11.1671875
10/27/2007,10.9375
11/3/2007,11
11/10/2007,11.6125
11/17/2007,14.225
11/24/2007,20.04166667
12/1/2007,20.625
12/8/2007,21.20833333
12/15/2007,22.16666667
12/22/2007,22
12/29/2007,20
1/5/2008,18
1/12/2008,17.25
1/19/2008,16.25
1/26/2008,18.5
2/2/2008,17.25
2/9/2008,15.9375
2/16/2008,13.9375
2/23/2008,12
3/1/2008,11.33333333
3/8/2008,11.58333333
3/15/2008,15.125
3/22/2008,22
3/29/2008,17
4/5/2008,13.16666667
4/12/2008,12.625
4/19/2008,12.66666667
4/26/2008,12.5
5/3/2008,12.625
5/10/2008,14.2
5/17/2008,14.05
5/24/2008,15.625
5/31/2008,14.5625
6/7/2008,13.125
6/14/2008,11.7
6/21/2008,11.45
6/28/2008,13.29166667
7/5/2008,12.8125
7/12/2008,13.14166667
7/19/2008,14.60416667
7/26/2008,18.40227273
8/2/2008,14.535
8/9/2008,13.96875
8/16/2008,12.02777778
8/23/2008,11.92857143
8/30/2008,12.84375
9/6/2008,12.95
9/13/2008,13
9/20/2008,13.08928571
9/27/2008,13.33928571
10/4/2008,13.375
10/11/2008,16.8925
10/18/2008,19.13125
10/25/2008,21.38214286
11/1/2008,19.16590909
11/8/2008,19.98125
11/15/2008,20.675
11/22/2008,21.27
11/29/2008,20.52954545
12/6/2008,17.609375
12/13/2008,17.859375
12/20/2008,16.8125
12/27/2008,15.4
1/3/2009,13.5
1/10/2009,14.75
1/17/2009,14.54464286
1/24/2009,15.25
1/31/2009,16.64583333
2/7/2009,17.953125
2/14/2009,19.83333333
2/21/2009,22.64583333
2/28/2009,25.65
3/7/2009,31
3/14/2009,30.8125
3/21/2009,29.875
3/28/2009,29.25
4/4/2009,31.25
4/11/2009,32.25
4/18/2009,27.52083333
4/25/2009,16.89285714
5/2/2009,14.625
5/9/2009,14.91071429
5/16/2009,14.375
5/23/2009,14.39285714
5/30/2009,14.53571429
6/6/2009,17.33928571
6/13/2009,18.30357143
6/20/2009,17.05357143
6/27/2009,13.546875
7/4/2009,14.0625
7/11/2009,16.55357143
7/18/2009,21.47916667
7/25/2009,19.52692308
8/1/2009,18.8
8/8/2009,17.29545455
8/15/2009,14.75714286
8/22/2009,13.85833333
8/29/2009,12.89285714
9/5/2009,13.1525
9/12/2009,13.1025
9/19/2009,12.60384615
9/26/2009,10.9175
10/3/2009,12.11111111
10/10/2009,11.91
10/17/2009,11.64583333
10/24/2009,14.3125
10/31/2009,13.21875
11/7/2009,13.23928571
11/14/2009,14.175
11/21/2009,13.39318182
11/28/2009,12.32142857
12/5/2009,12.24107143
12/12/2009,12.85416667
12/19/2009,11.05
12/26/2009,12.22916667
1/2/2010,13.925
1/9/2010,15.3
1/16/2010,20.4
